0 0 0	438.051 0 8 9 25 9 25 9 25 9 25 29 31
0 0 1	214.869 0 16 24 25 29 31
0 1 0	585.714 0 16 24 25 29 31
0 1 1	93.2744 0 16 20 21 29 31
0 2 0	284.248 0 16 24 25 9 25 29 31
0 2 1	264.076 0 16 24 25 29 31
0 3 0	49.2253 0 16 18 22 23 31
0 3 1	156.607 0 16 18 22 23 31
0 4 0	478.988 0 16 24 8 9 25 29 31
0 4 1	124.275 0 8 24 25 29 31
0 5 0	181.648 0 16 18 22 23 31
0 5 1	478.856 0 8 24 16 24 16 24 16 0 8 9 25 29 31
0 6 0	118.709 0 16 24 25 29 31
0 6 1	86.6209 0 16 24 25 29 31
0 7 0	69.3887 0 16 24 25 27 31
0 7 1	62.2107 0 16 20 21 23 31
0 8 0	116.492 0 8 9 25 29 31
0 8 1	88.905 0 16 24 28 29 31
0 9 0	124.33 0 16 17 21 29 31
0 9 1	74.5671 0 16 20 21 29 31
0 10 0	167.621 0 16 24 25 27 31
0 10 1	117.289 0 16 24 25 29 31
0 11 0	264.534 0 16 24 8 9 25 27 31
0 11 1	251.523 0 16 20 16 24 26 24 25 27 31
0 12 0	372.351 0 16 24 25 29 31
0 12 1	167.728 0 16 24 25 29 31
0 13 0	589.901 0 16 24 16 24 25 9 25 29 31
0 13 1	85.6694 0 4 6 22 23 31
0 14 0	776.716 0 16 24 25 9 25 29 31
0 14 1	95.3697 0 8 9 25 29 31
0 15 0	736.858 0 16 24 16 24 25 9 25 9 25 9 11 15 31
0 15 1	290.495 0 8 24 16 0 8 9 25 29 31
0 16 0	486.77 0 16 24 16 24 25 29 31
0 16 1	480.437 0 16 24 25 24 25 27 31
0 17 0	488.205 0 1 9 25 9 25 29 31
0 17 1	171.471 0 8 9 25 27 31
0 18 0	46.8183 0 16 24 25 29 31
0 18 1	106.209 0 16 24 8 24 25 29 31
0 19 0	137.509 0 8 9 25 27 31
0 19 1	150.069 0 16 17 21 29 21 23 31
1 0 0	1240.66 0 16 20 22 30 31
1 0 1	72.8438 0 16 24 25 29 31
1 1 0	354.731 0 16 20 22 30 31
1 1 1	377.479 0 16 24 16 20 21 23 31
1 2 0	1010.92 0 16 20 22 30 31
1 2 1	233.909 0 16 24 16 20 22 23 31
1 3 0	233.771 0 16 20 22 30 31
1 3 1	336.808 0 16 20 16 0 16 17 16 20 22 30 31
1 4 0	1046.55 0 16 20 16 20 22 30 31
1 4 1	125.195 0 16 20 22 30 31
1 5 0	658.17 0 16 20 22 30 31
1 5 1	258.212 0 16 24 25 9 25 29 31
1 6 0	1305.44 0 16 20 22 30 31
1 6 1	71.8785 0 16 20 22 30 31
1 7 0	1403.05 0 16 18 16 20 22 30 31
1 7 1	137.025 0 16 20 22 23 31
